time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.2000000000000006,-0.27897564287886223,0.019802003567607866,11.47977089682062,6.272123949872883,0.12720261731041216,0.0,-0.7996927996775428,0.03421339611218108,2.643892438515942,-0.09373015797618897,0.11296419929879155,0.0,465.77407316049005,466.5860211473605,467.2775021350726,465.8293605712115
1.2600000000000007,-0.32921649057229474,0.021643955725049405,11.63816344375874,6.266650781838525,0.13438744467824293,0.0,-0.8756140164869917,0.026709213527137624,2.6357613373895346,-0.08662251928369914,0.13068468187785884,0.0,409.6880714076792,411.274643352309,409.9148915236237,410.5382495480803
1.3200000000000007,-0.384549244906919,0.022890250095112454,11.799019325328173,6.261773832748204,0.14247781952542482,0.0,-0.9695902840369394,0.014335874582212194,2.725725014062543,-0.07231449509706424,0.14206224012905225,0.0,442.80039417267653,443.75209514325803,442.0393615292077,443.211385973154
1.3800000000000008,-0.4458888832885895,0.02326776232349598,11.96661558639023,6.2571211990349855,0.15112300395557554,0.0,-1.0759423459479716,-0.0022187447975380893,2.860284318041931,-0.09086194313459792,0.14785091006844822,0.0,457.2207398268863,457.70039604239776,458.7403440864484,457.26044461298545
1.4400000000000008,-0.5132990872343476,0.022635755377648437,12.138992109575709,6.251755199292486,0.1597548182589108,0.0,-1.1718599488729684,-0.019332921027803516,2.885341309852543,-0.08672095493192734,0.13438948254285457,0.0,424.5259483524705,423.3895907974736,423.5591328351929,423.9080099215861
1.5000000000000009,-0.5867784253642297,0.02084918637197431,12.313791405592179,6.246766039282541,0.16782169251404433,0.0,-1.2782076039069101,-0.04069368378716296,2.940948739518944,-0.07683485179032261,0.13456436379920986,0.0,434.241480736109,434.2732855312653,434.3042469819215,435.1268055453971
1.560000000000001,-0.6672660277197247,0.017586038654673796,12.49462785821684,6.242494445152477,0.17585228304298717,0.0,-1.405530893757616,-0.06853476502467398,3.0862888607744896,-0.06179935268259209,0.1323619911789057,0.0,464.3165300734821,464.1593836663988,462.289746142461,463.4692264680219
1.620000000000001,-0.7556902754664525,0.012536788361535656,12.68479564314139,6.238230748028702,0.18362737183139277,0.0,-1.542748689812443,-0.10017036690019095,3.2518916584148587,-0.10544018447811881,0.12336176814674706,0.0,470.3758423334446,469.69265362261774,473.7600637382497,470.38815587477103
1.680000000000001,-0.8519761690783038,0.005618794703231572,12.88192033495535,6.232105443200236,0.19076928770660118,0.0,-1.6674658299572762,-0.13101257969736543,3.3184711362392676,-0.09611468082134796,0.10855469310413987,0.0,442.15574921934865,440.94687397956875,441.68175299504617,442.4410733135181
1.740000000000001,-0.9555727326605491,-0.00318202723680946,13.081378965134101,6.226104911345097,0.19755551234728586,0.0,-1.7863569848564282,-0.1628561895964693,3.3298673875346063,-0.10922183235133687,0.12092010527630115,0.0,423.6239929069186,424.69795214478825,425.7609015134912,424.6287027347149
